Name,Description,Country,URL,Depth,Latitude,Longitude,,
Albert Head Lagoon,"A very nice dive location, very calm (No current): Good for beginers . Abundant marine life (many anemones, octopuses...).",CAN,,<60 ft,48.396016,-123.488883,,
Albion Beach,,USA,https://opendivesites.org/Albion_Beach,,39.22793,-123.770259,,
Alki Beach Junk Yard,,USA,https://opendivesites.org/Alki_Beach_Junk_Yard,,47.582854,-122.402659,,
Alki Seacrest Park (Cove 2),,USA,https://opendivesites.org/Alki_Seacrest_Park_(Cove_2),,47.588739,-122.379876,,
Anaehoomalu Beach,,,,,19.914367,-155.887443,,
Anaheim Bay Breakwater,,,,<30 ft.  ,33.735545,-118.101014,,
Anchor Bay,,USA,https://opendivesites.org/Anchor_Bay,,38.801903,-123.577347,,
Ansell Point,located about two kilometers north of Whtytecliffe Park en route to Whistler on the Sea to Sky Highway. Look for the Ansell Road turn-off and after exiting and crossing the overpass take the first street on your left which is called Citrus Wynd. Follow i,CAN,,,49.396976,-123.25217,,
Atlas Park,"The park is located in the Village of Pointe-Verte, and is built around a flooded rock quarry which is now a recreational lake for several activities including SCUBA diving. Pointe-Verte is a small fishing village located in the Acadie-Bathurst region. A",CAN,,,47.844249,-65.765039,,
Bachman’s beach,Bachman’s beach is a privately owned beach that is open to the public. This is a small cove that is easy to dive and well protected from the ocean current and wind.,CAN,,,44.406753,-64.266951,,
Back Beach,,USA,shorediving.com/Earth/USA_East/Massachusetts/Back_Beach/index.htm,,42.662161,-70.623609,0,
Back Lane Wharf,,CAN,https://lh3.googleusercontent.com/proxy/pKPdy8aEDCbxJTCt8qlPqOarArc0krkjmbBq8gASlr_ZP1eU_yGxT7Sqlw2glZFEq5azP8poqr4Ok5JxqnYxWkC-RVMza27rDbrhWvyXnSYgOCIQHDx3pACu8S8i691ANA2GRFztNazK5ru8bvKnqwUrETHTSPjoryD4C5yYfBhp912m0o33pIAlXSNqJJbVoMZ4oO2bF1l6,,44.467881,-63.714545,,
BAIE DORÉE,,CAN,,<30 ft.  ,45.982416,-75.066483,,
Baie-Comeau,,CAN,http://www.scubapedia.ca/index.php/Baie-Comeau,,49.235701,-68.073957,,
Bayswater,"There is room across from the houses and the side road to park off the highway. The top of the small cobble beach is safe to park on, but out further is soft. Water access is a short walk down the gentl",CAN,,<60 ft,44.5075,-64.056298,,
Beach Dive,Joceyln Township park,CAN,,,46.075657,-83.911164,,
Beachcomber South Wall,"Park off road near obvious trail near the Beachcomber Regional Park sign. Walk down trail to beach (nice gravel at high tide, slippery larger rocks at low tide). Enter and swim directly magnetic south, perhaps angling a little left",CAN,,<180ft ,49.310833,-124.212933,,
Bear Cove,"Heavy boat trafic durring the day..   this is really a boat launch. Just follow the Island Highway to Port Hardy, and take the turn off for the Bear Cove Highway to the B.C. Government Ferry Terminal. Also known as the Port Hardy-Bella",CAN,,<85 ft,50.72289,-127.458257,,
Bear Cove,,CAN,https://www.youtube.com/watch?v=olMDNSOUV-c,,44.538454,-63.543511,,
Beauvert Lake,,CAN,,,52.881895,-118.062794,,
Beavertail State Park,,USA,https://opendivesites.org/Fort_Wetherill,30-90ft,41.450403,-71.397658,0,
Belcarra Park,Large Parking area with short walk to picnic area and beach. Regional Park so check for park hours or drive around park to road on north side (about 10 mins more drive time) and park on roadside. Easy access to water on north side of w,CAN,,<80 ft,49.313233,-122.927866,,
Bell Grove Beach,Depth to 60ft  mud and rock bottom.,CAN,,,46.469462,-80.992899,,
Belle Sheridan,"ran aground, 7 Nov 1880 broken up and is often covered by shifting sands        get the story at http://deansdiving.ca/Belle%20Sheridan.html",CAN,,,43.998126,-77.609299,,
Bernard Ave Beach,,CAN,,,42.872217,-79.029924,,
Bernard Lake,Tea coloured water shallow water for 200 ft out (walkable)  Max depth 150ft.,CAN,,,45.77188,-79.377464,,
Bertie Bay Road,short walk to the water from road,CAN,,,42.877359,-78.990185,,
Big Bay Point,Parking is an issue,CAN,,,44.401365,-79.52418,,
Big Rock,,USA,https://opendivesites.org/Big_Rock,,34.038311,-118.606137,,
Birchy Head,,CAN,https://lh6.googleusercontent.com/proxy/j_WgoOTikOvk4FfI2oqYAtsyc2Ovld0GCu_922hzxlIlaGzRl1EuJFvVewYrEuRRthTAJbg9-JqhljbmYB_KRHatTJCNiEpVekyIC8o8EJr-OZBtA0SIeHB20qB-eF1UheTchC15HK5NAIklnYUzSZGGyvk-pYAShbhC0snOmMSvq5ZIlNQH_tRMU4iNPYQ1NNCsRg,,44.568114,-64.036215,,
Bixby Creek,,USA,,,36.370998,-121.903363,,
Black Donald Lake,Old town and Graphite mine. Water levels are 45ft higher than the original lake,CAN,,,45.224883,-76.91112,,
Black Rock Beach,Black Rock Beach is the closest dive site to the Halifax TPR. It is just off the parking lot at Point Pleasant Park. Easy in and easy out and a great spot if you don't mind people gawking as you gear up in the parking lot.<br><br>Site Descrip,CAN,,,44.624348,-63.564164,,
Blue Grotto Dive Resort,,,,,29.387277,-82.486508,,3852
Blue Heron Bridge,,,https://opendivesites.org/Blue_Heron_Bridge,,26.783219,-80.041355,0,
Blue Hole,,USA,,,34.940426,-104.673178,,
Bolsa Chica State Beach,,,,<30 ft.  ,33.685725,-118.040386,,
Bottle Dump,Park along Albert St and enter here. Depth less than 15ft,CAN,,,45.905532,-77.256553,,
Bowker Lake,,CAN,http://www.scubapedia.ca/index.php/Lac_Bowker,,45.4064,-72.227033,,
Braemar Avenue,"This dive site is located at the west end of Braemar Avenue. To get to this dive site, if you are traveling from the south follow West Saanich Road north, and turn off onto Ardmore Road and follow it until it becomes Ardmore Drive.",CAN,,<70 ft,48.633766,-123.477633,,
Browns Ravine,,USA,,,38.71736,-121.102093,,
Burford Lake,Lake access through Burford Park Depths to 20ft,CAN,,,44.822595,-81.178261,,
Burleigh Falls,"turn on to Old Burleigh Falls road and follow it, until you come to a parking area on your left.<br>- Parking space is limited.<br><br>Dive out to near the falls and return to shore. This area has many freshwater fish, including; Walleye (Pickerel), Musk",CAN,,,44.554333,-78.202039,,
Burns Point,,CAN,"https://www.youtube.com/watch?v=4gLtj7Wmx0Q""",,44.488548,-63.87198,,
Bush Island,"MARINE LIFE: KELP AND SEAGRASS, LOBSTER, MUSSELS, SCOLPIN, SKATE, FLUNDERS, ANEMONS",CAN,,<40 ft.,44.23945,-64.369166,,
Butterfly House,,USA,https://opendivesites.org/Butterfly_House,,36.54159,-121.932802,0,
C.L Fish Hatchery water intake pipes,Depth 112ft at tend of pipe....Follow the pipes starting in 8ft of water down the gradual slope.. The long pipe will take you out 2000ft .,CAN,,,54.582378,-110.214025,,
Cameron Bay,"The bottom drops off very quickly to a depth of 130+ feet.<br>The bottom is very silty with little to see, this is a wall dive.<br>The depth here exceeds 130ft but there is little to see at depth. A",CAN,,<130 ft,49.043723,-113.915036,,
Cameron Lake,"At Waterton Lakes National Park<br>This cold lake is extremely clear, making it a great place to dive. You’re completely surrounded by mountains. There’s nearby campgrounds, as well as a Tiny House to stay at. Watch for the wreck at the bottom of the",CAN,,,49.018755,-114.046972,,
CANAL SOULANGES,  ,CAN,"http://www.scubapedia.ca/index.php/Canal_Soulange,_parc_des_ancres",20ft,45.331283,-73.967883,,
Cape Chin South,A small cobblestone beach offers access to the water.,CAN,,,45.095388,-81.277385,,
Carmel River,,USA,https://opendivesites.org/Carmel_River_Beach,,36.539355,-121.930027,0,
Carnellian Beach,,USA,https://opendivesites.org/Carnellian_Beach,,39.225683,-120.082162,,
Casino Point,,USA,,,33.349058,-118.325054,,
Caspar Beach,,USA,https://opendivesites.org/Caspar_Beach,,39.361157,-123.816761,,
Cates Park,,CAN,,,49.302102,-122.954304,,
Caulfield Cove,,CAN,,,49.338541,-123.253984,,
Cedar Hill Park,,CAN,,,44.804496,-81.008874,,
Centeen Park,,CAN,,,44.591972,-75.677626,,
Chippewa drift 2,Exit location for drift 1 or start here and drift to the Stanley ave bridge,CAN,,,43.051218,-79.060598,,
Chippewa drift 3,exit area for drift 2 or start here and drift downstream. Danger if drifting too far,CAN,,,43.046757,-79.083547,,
Chippewa drift 3 exit,Danger exists if you go too far beyond this area.,CAN,,,43.04475,-79.104393,,
Clear Lake,Clear Lake provides ample opportunity for scuba diving.   ,CAN,https://www.pc.gc.ca/en/pn-np/mb/riding/activ/rec/activ1-sba,<115ft ,50.675131,-100.007353,,
Clear Lake,"Small spring water lake located near Senneterre,  with brook trout. Access is on the south side by a small rather steep path.",CAN,,,48.301855,-77.171832,,
Clear Lake,,USA,https://opendivesites.org/Clear_Lake,,44.373638,-121.997948,,
Clear Lake - Milot,,CAN,http://www.scubapedia.ca/index.php/Lac_Clair_-_Milot,,48.956861,-71.865372,,
Clear Lake Ontario,".great diving from rental pontoon boats (Opeongo Mountain Resort)...sunken card table amd chairs, fishing boat amd gear, very clear water",CAN,,,45.447002,-77.24168,,
"Clear Lake, Alberta","Clear waters, and a purposefully built dive site featuring a ceramic cow, an underwater hyperbaric chamber, bunk beds, an airplane, and countless other oddities that will have you laughing into your mask. Camping is available at Arm Lake recreational are",CAN,,,52.767378,-110.612964,,
"Clear Lake, Ontario",From the public dock swim across the narrow channel to the island. Circling the small island will take approximately 50 minutes. Be aware of boat traffic,CAN,,,45.035556,-79.009829,,
Clover Point,,CAN,,,48.403836,-123.349873,,
Cold Lake Prov. Park Day Use Area,There is a metal cage in about 30ft as well s logs and clay formations.,CAN,,<60 ft,54.461708,-110.139823,,
Commander Lake,,CAN,http://www.scubapedia.ca/index.php/Lac_Commandant,,45.862883,-74.766766,,
Coopers Green,"Cooper's Green dive site is located in a small park at Cooper's Green in Halfmoon Bay, Sechelt. It is right beside a boat launching site, though it is well signed for the boaters to stay to the north side of the launch. There is al",CAN,,<80 ft,49.504409,-123.909055,,
Copper Cliffs,"This sight is best dove at slack tide. But well worth it given the abundance of life, and especially the thousands of Strawberry Anemones that coat many of the rocks and boulders",CAN,,<100 ft,50.098266,-125.27115,,
Copper Cove,A steep stairs leads to waterfront at the end of Copper Cove Road  Between Horseshoe Bay and Whyte Cliff Park. Shore Dive Depth 40 to 45 feet,CAN,,<100 ft,49.378363,-123.279884,,
Copper Roof House,,USA,https://opendivesites.org/Copper_Roof_House,,36.544713,-121.931738,0,
Coral Bay,,AUS,,,-23.142253,113.770469,0,
Coral St,,,https://opendivesites.org/Coral_Street_Beach/Lucas_Point,,36.635478,-121.927529,0,
Corona Del Mar,,,,<30 ft.  ,33.593046,-117.87573,0,
Courtright Drift,This is nice drift to explore and hunt for old bottles and objects. Current is light to moderate and maximum depth is 30ft. ,CAN,,,42.818763,-82.476027,,
Cranberry Cove,,CAN,https://www.youtube.com/watch?v=2iqIoG3ByGU,,44.500454,-63.920973,,
Crater Lake,,USA,https://opendivesites.org/Crater_Lake,,42.976383,-122.088491,,
Crescent Bay,,USA,https://opendivesites.org/Crescent_Bay,,33.546489,-117.801529,,
Crescent Road Beach park,,CAN,,,42.882265,-78.960981,,
Cross Island,"MARINE LIFE: KELP, ANEMONS, SKATES, SCOLPIN, LUMBFISH, MAKARELS, FLOUNDERS",CAN,,45ft,44.31445,-64.20055,,
Crowe River,Take Madok st to Water Street at the edge of the Crowe river,CAN,,,44.483146,-77.687287,,
Crystal Beach,clear water depths to 90ft ,CAN,,,48.154088,-79.889358,,
CSL DOCKS,"This site was formerly the Canada Steamship Lines dock. There is much to see including pilings, many fish and various junk spread throughout the area. The maximum depth is 40ft and there is a light to moderate Northbound current. This site is suitable fo",CAN,,,42.993595,-82.424139,,
Daria Beach,,,,,26.059164,-80.111695,,
Dark Gulch,,USA,,,39.239706,-123.774307,,
Deadman Bay,the wrecks of the Prince Regent and Psyche are in the bay Access from Arrowhead Point park.,CAN,,,44.234622,-76.449136,,
Deception Pass,,USA,https://opendivesites.org/Deception_Pass,,48.4043,-122.646847,,
Dedecker Park shore dive,,CAN,,,42.657619,-82.508867,,
Deep Cove,"To get to Setchell Road in North Saanich. You need to follow the Pat [Patricia] Bay Highway from Victoria and just after you pass Sidney, turn off to the left onto Wain Road. Follow Wain until you are forced to go left or right. Make a right onto Madrona",CAN,,<100 ft,48.680883,-123.480583,,
Del Monte Beach,,USA,https://opendivesites.org/Del_Monte_Beach,,36.601295,-121.887202,,
"Depth to 60ft..  Access to this site is from Highway 99 just south of Britannia Beach. Parking is availible either beside the coffee shop in the gravel lot or on the side of the road, south bound, by the light post across from the T intersection.<br><br","Access to this site is from Highway 99 just south of Britannia Beach.<br><br>Parking is availible either beside the coffee shop in the gravel lot or on the side of the road, south bound, by the light post across from the T intersection.",CAN,,<60 ft,49.619383,-123.20825,,
Devil's Den Prehistoric Spring,,,,,29.407678,-82.476385,,5390
Diefenbaker Lake,Do not dive neer the DAM...... Was informed to take the road just East of the restaurant by the dam and follow it South until you get to a small group of trees. There is a nice grassy area to park on before a short drop to the beach. Entry into the water,CAN,,,51.178297,-106.802327,,
Diver's Cove,,USA,https://opendivesites.org/Diver%27s_Cove,,33.544839,-117.794486,,
Drolet Lake,,CAN,http://www.scubapedia.ca/index.php/Lac_Drolet,,45.736651,-70.878714,,
Dry Tortugas,,,https://opendivesites.org/Dry_Tortugas,,24.626964,-82.873829,,
Early Hole,,USA,https://opendivesites.org/Early_Hole,,41.829531,-124.114577,,
East Blue Lake,"Take Highway 83 north from Roblin, Manitoba. At San Clara, turn right onto grid road # 367. Follow gravel road #367, 47.5 km to #366.<br>Turn left and proceed only 1.5 km. and you are there.<br>Dive site a",CAN,,<140 ft,51.596484,-100.918052,,
East Oliver Lake,his site takes cliff diving to new depths. The massive cliffs surrounding Oliver Lake are home to large and friendly fish. From deep diving to underwater photography this site has it all. As you enter from the shore you can explore the sunken trees which,CAN,,,48.272015,-89.571902,,
East West Line to Navy Hall,Drift dive to Navy Hall. ,CAN,,,43.233372,-79.060544,,
Edith Lake,This is located in a National Park with access along the campsite road. There is a small parking lot; maybe 6 cars; available about 100 meters north of the dock this is as close as you can get with a,CAN,,<60 ft,52.90684,-118.047186,,
Edmonds Underwater Park,,USA,https://opendivesites.org/Edmonds_Underwater_Park,,47.811715,-122.385373,,
Elk Beach,,USA,https://opendivesites.org/Elk_Beach,,39.128034,-123.717588,,
Elliot's Beach Park,This dive site could almost be considered two dive sites. By accessing the water here by Elliot's Beach Park at the end of Elliot Way you can also access the rock structure that is just past the end of the point to the south east of t,CAN,,<85 ft,48.9875,-123.761116,,
Emerald Bay,As you follow the area directions you will be driving along side Middle Waterton Lake. You will pass by a tourist information booth on your right and the Prince of Whales Hotel on your left. Take the n,CAN,,<50 ft.,49.056023,-113.91012,,
English Bay Navigation course,Wade across three sand bars to get to deeper water to put fins on. The back of the navigation course is about 830ft from shore in 20ft of water. It has a rock boundry on 3 sides.,CAN,,,54.577675,-110.217446,,
Englishtown,,CAN,,<80 ft,46.290783,-60.545316,,
Epave,,CAN,,<80 ft,49.321183,-67.58455,,
Fan Shell Beach,,USA,,,36.58241,-121.968386,,
Feguson's Cove,"This dive site has a rocky beach entry which is located between a pier and a man made breakwater. Ferguson's Cove can be enjoyed by almost any certified diver, from novice and above. If you",CAN,,<165ft.,44.60306,-63.557195,,
Fisherman's Cove,,USA,https://opendivesites.org/Fisherman%27s_Cove,,33.545383,-117.796167,,
Fisk Mill Cove,,USA,https://opendivesites.org/Fisk_Mill_Cove,,38.596568,-123.349318,,
Flat Rock,,USA,https://opendivesites.org/Flat_Rock,,33.793712,-118.406865,,
Flintkote Quarry,"This quarry has an entry fee. With some items on the bottom including a ski doo and car, viability is usually good and depths average about 65t with a max 180ft",CAN,,,46.129575,-71.273889,,
Florence North Jetty,,USA,https://opendivesites.org/Florence_North_Jetty,,44.018327,-124.136745,,
Folsom Point,,USA,,,38.696718,-121.131258,,
Forgetmenot Pond,"The lake is very much like a moonscape, and there are 5 trout in it. The water is cold, around 6 degrees C; spring and glacier meltwater fed. It is advised that you wear a drysuit. The vis is amazin",CAN,,<30 ft.  ,50.797523,-114.848294,,
Fort Ross Cove,,USA,https://opendivesites.org/Fort_Ross_State_Park,,38.512013,-123.242967,,
Fort Wetherill,,,,,41.478858,-71.360269,,
Fox Point Beach,,CAN,https://www.youtube.com/watch?v=Nubl7R9F38c,,44.598012,-64.06224,,
Fralick Cove,Fralick Cove (Liverpool) is a very easy entry over a gravel bottom and is a perfect site for new divers to gain some experience. Once in you will find the sandy bottom crawling with an abundance of lobsters and other sea life and the good vis,CAN,,,44.043874,-64.660844,,
French Bay Day Area,Find the clay bank.. about 2ft high and 170ft long.,CAN,,,54.437137,-110.031198,,
Frenchmans Creek,Exit area when drifting from the international train bridge. Can start a long dive toward Hyde Road,CAN,,,42.940671,-78.92697,,
Frobisher Bay,Adventure dives with Arctic Kingdom  https://arctickingdom.com/trip/scuba-diving-in-the-arctic/ ,CAN,,,63.720895,-68.506006,,
Frolic Cove,,,https://opendivesites.org/Frolic_Cove,,39.35383,-123.821149,,
Furry Creek Entry,Five minutes north of Porteau Cove. Entry is fairly easy. Head to the wall on the right look for crabs and lobsters.,CAN,,,49.586302,-123.224062,,
Furry Creek Parking,Parking location for Furry Creek. It's in a residential cul de sac.,CAN,,,49.585829,-123.222876,,
Garrapata South,,USA,https://opendivesites.org/Garrapatta_State_Park,,36.448653,-121.927477,,
Gerstle Cove,,USA,https://opendivesites.org/Gerstle_Cove,,38.567353,-123.330424,,
Gilboa Quarry,"Gilboa Quarry is a 14+ acre limestone quarry, located in Northwest Ohio. There are wooded campgrounds encompassing over half the quarry's perimeter. The quarry provides two distinct personalities: the shallow side at 5 - 65 ft provides great recreational",USA,,,41.014936,-83.936581,,
Ginnie Springs,,USA,https://ginniespringsoutdoors.com/dive-sites/devils-spring-system/,,29.836017,-82.699597,,
Glass Beach,,USA,https://opendivesites.org/Glass_Beach,,39.454534,-123.811739,,
Goat Island,,NZ,,,-36.269603,174.796241,0,
GRANDE ÎLE, ,CAN,,40ft,50.180466,-63.883266,,
Granite Bay,,USA,,,38.743664,-121.145708,,
Graymont career,,CAN,http://www.scubapedia.ca/index.php/Carri%C3%A8re_Graymont,,46.663401,-71.959027,,
Green Lake,,CAN,http://www.scubapedia.ca/index.php/Lac_Vert,,48.94545,-72.74005,,
Green Lake,http://www.scubapedia.ca/index.php/Lac_Vert_(Outaouais),CAN,,,46.002618,-75.80082,,
Grey Rocks,(AKA Strathconia). Easy Access. Good mix of marine life. Beware of Boat traffic and current.,CAN,,<100 ft,49.317744,-122.945133,,
GUIAN ,,CAN,,<30 ft.  ,48.339133,-64.6669,,
Gulfstream Park,,,,,26.500025,-80.051807,,
Gullivers Lake,,CAN,,,43.359774,-80.023359,,
Hayes Garden,,CAN,,,44.577034,-63.550018,,
Herring Cove,"Herring Cove is a small cove located near Halifax this is usually sheltered from the weather. It is frequently used by divers year round day or night. It is well suited for the skill level of Novice Diver , but should be experienced by all t",CAN,,,44.569337,-63.556903,,
Herring Cove,,CAN,https://www.youtube.com/watch?v=mzTiAxys5tU,,44.569391,-63.556895,,
Hidden Beach,,USA,https://opendivesites.org/Hidden_Beach,,36.611857,-121.897453,0,
High Head Trail ,"Best at high tide, enter through inlet and continue dive out to bay.",CAN,,,44.470633,-63.793225,,
HMS Erebus,Just the general area. Permission from the Canadian Government required to dive this marine protected area.,CAN,,,68.207689,-98.828971,,
HMS Terror,Just the general area. Permission from the Canadian Government required to dive this marine protected area.,CAN,,,68.844074,-98.907737,,
Hollywood North Beach Park,,,,,26.034317,-80.113677,,
Horseshoe Lake,,CAN,,,52.698932,-117.8672,,
